,mean,sd,hpd_3%,hpd_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
alpha[0],1.593,0.256,1.131,2.093,0.002,0.001,19740,19740,19731,19904,
alpha[1],2.649,0.336,2.004,3.257,0.002,0.002,20093,20093,20097,19564,
alpha[2],3.053,0.354,2.383,3.707,0.003,0.002,20011,20011,20007,19836,
alpha[3],1.959,0.227,1.534,2.385,0.002,0.001,19039,18998,19040,18288,
alpha[4],1.738,0.195,1.384,2.113,0.001,0.001,19642,19631,19646,19355,
alpha[5],1.546,0.261,1.06,2.04,0.002,0.001,19845,19820,19844,19713,
alpha[6],1.589,0.226,1.169,2.018,0.002,0.001,19692,19622,19698,19846,
alpha[7],1.746,0.215,1.337,2.144,0.002,0.001,19799,19621,19827,19273,
alpha[8],1.255,0.185,0.906,1.603,0.001,0.001,19739,19739,19745,19429,
alpha[9],1.286,0.199,0.915,1.658,0.001,0.001,19208,19208,19223,19042,
alpha[10],1.408,0.188,1.057,1.765,0.001,0.001,19625,19625,19626,19399,
alpha[11],1.959,0.244,1.497,2.421,0.002,0.001,19900,19900,19896,20216,
alpha[12],2.151,0.237,1.703,2.587,0.002,0.001,19463,19463,19479,20347,
alpha[13],1.756,0.206,1.381,2.152,0.001,0.001,19101,19101,19095,19136,
alpha[14],0.985,0.219,0.571,1.387,0.002,0.001,20295,20295,20296,20089,
alpha[15],1.557,0.233,1.104,1.983,0.002,0.001,19450,19421,19457,19632,
alpha[16],1.244,0.23,0.815,1.676,0.002,0.001,20246,20178,20236,19346,
alpha[17],1.675,0.245,1.21,2.13,0.002,0.001,20024,20024,20023,19918,
alpha[18],1.323,0.265,0.829,1.823,0.002,0.001,19887,19887,19885,19763,
alpha[19],1.826,0.258,1.34,2.314,0.002,0.001,20026,19972,20021,19214,
alpha[20],1.431,0.354,0.766,2.09,0.003,0.002,19558,19558,19556,19632,
alpha[21],2.571,0.301,2.018,3.144,0.002,0.002,19891,19826,19885,18654,
alpha[22],1.78,0.271,1.272,2.283,0.002,0.001,19652,19652,19654,19628,
alpha[23],1.074,0.207,0.672,1.454,0.001,0.001,20278,20278,20245,19571,
alpha[24],1.628,0.242,1.17,2.077,0.002,0.001,19983,19970,19984,19522,
alpha[25],2.232,0.315,1.652,2.837,0.002,0.002,18892,18879,18886,19407,
alpha[26],1.175,0.264,0.684,1.674,0.002,0.001,19908,19816,19857,19246,
alpha[27],1.177,0.269,0.666,1.686,0.002,0.001,19481,19348,19470,19302,
alpha[28],1.51,0.248,1.051,1.983,0.002,0.001,19483,19426,19483,19661,
alpha[29],1.236,0.266,0.746,1.748,0.002,0.001,19495,19495,19491,18766,
alpha[30],0.865,0.255,0.383,1.339,0.002,0.001,20519,20430,20519,20335,
alpha[31],3.142,0.415,2.359,3.92,0.003,0.002,20055,20055,20053,19672,
alpha[32],2.492,0.334,1.857,3.106,0.002,0.002,19962,19962,19964,19514,
alpha[33],1.819,0.271,1.301,2.313,0.002,0.001,19857,19826,19857,19385,
alpha[34],1.892,0.288,1.342,2.418,0.002,0.001,19629,19629,19631,19599,
alpha[35],1.945,0.244,1.469,2.382,0.002,0.001,20086,20070,20085,19836,
alpha[36],1.571,0.25,1.104,2.041,0.002,0.001,20036,20036,20035,20043,
alpha[37],1.765,0.258,1.292,2.262,0.002,0.001,20407,20403,20407,19394,
alpha[38],1.771,0.259,1.271,2.242,0.002,0.001,17855,17790,17853,19753,
alpha[39],1.817,0.271,1.316,2.338,0.002,0.001,18860,18837,18861,20024,
Beta1[0],0.016,1.069,-2.001,1.991,0.008,0.005,20064,19280,20068,19047,
Beta1[1],-0.016,1.073,-2.092,1.95,0.008,0.006,18997,18997,18997,19672,
Beta1[2],0.025,1.082,-2.007,2.052,0.008,0.005,19532,19532,19528,18583,
Beta1[3],0.062,0.51,-0.877,1.029,0.004,0.003,20259,19826,20264,19225,
Beta1[4],-0.588,0.484,-1.496,0.307,0.003,0.002,19672,19062,19676,19164,
Beta1[5],0.013,1.064,-1.968,2.023,0.008,0.005,19923,19923,19926,19187,
Beta1[6],0.01,1.089,-2.008,2.086,0.008,0.006,19864,19369,19861,19547,
Beta1[7],-0.362,0.612,-1.472,0.837,0.004,0.003,19925,19893,19932,19330,
Beta1[8],-0.484,0.327,-1.088,0.138,0.002,0.002,20714,20658,20717,20174,
Beta1[9],-0.953,0.348,-1.617,-0.31,0.003,0.002,18966,18966,18969,19327,
Beta1[10],-0.5,0.283,-1.021,0.04,0.002,0.001,20009,19715,20002,19750,
Beta1[11],-0.777,0.318,-1.399,-0.208,0.002,0.002,20577,20432,20567,19937,
Beta1[12],-0.505,0.312,-1.107,0.066,0.002,0.002,20337,20337,20339,19399,
Beta1[13],-0.863,0.276,-1.369,-0.33,0.002,0.001,19435,19435,19432,19530,
Beta1[14],-0.553,0.309,-1.139,0.024,0.002,0.002,19477,19367,19466,18917,
Beta1[15],-0.555,0.344,-1.209,0.082,0.002,0.002,19249,18993,19248,19638,
Beta1[16],-0.651,0.29,-1.188,-0.098,0.002,0.001,19920,19920,19921,19854,
Beta1[17],-0.736,0.302,-1.302,-0.169,0.002,0.001,20501,20411,20510,19750,
Beta1[18],-0.675,0.33,-1.294,-0.06,0.002,0.002,19212,19212,19308,19478,
Beta1[19],-0.7,0.351,-1.367,-0.052,0.002,0.002,20279,20135,20281,19879,
Beta1[20],-0.376,0.441,-1.232,0.431,0.003,0.002,20417,20048,20417,19690,
Beta1[21],1.123,0.772,-0.291,2.608,0.005,0.004,20188,20171,20193,19843,
Beta1[22],-1.019,0.448,-1.835,-0.148,0.003,0.002,19839,19805,19841,19468,
Beta1[23],-0.915,0.416,-1.69,-0.128,0.003,0.002,19841,19825,19842,19637,
Beta1[24],-1.23,0.346,-1.876,-0.567,0.002,0.002,19537,19350,19536,19234,
Beta1[25],-0.276,0.727,-1.609,1.126,0.005,0.004,19673,19673,19669,20125,
Beta1[26],-0.318,0.507,-1.267,0.639,0.004,0.003,18652,18652,18669,20045,
Beta1[27],0.259,0.542,-0.727,1.314,0.004,0.003,19916,19492,19924,19635,
Beta1[28],-0.83,0.479,-1.743,0.051,0.003,0.002,20156,20156,20156,19963,
Beta1[29],-0.009,1.065,-1.988,2.01,0.008,0.005,19327,19327,19315,19968,
Beta1[30],-0.574,0.592,-1.695,0.508,0.004,0.003,20042,19655,20044,19577,
Beta1[31],0.49,0.914,-1.183,2.227,0.007,0.005,19673,19673,19675,19906,
Beta1[32],0.008,1.07,-2.033,1.997,0.008,0.005,20126,19921,20126,19957,
Beta1[33],0.032,1.067,-1.944,2.045,0.007,0.005,20387,20284,20393,20208,
Beta1[34],-0.004,1.086,-1.975,2.092,0.008,0.005,20230,19712,20243,19449,
Beta1[35],-0.223,0.71,-1.593,1.083,0.005,0.004,20861,20045,20855,19494,
Beta1[36],-0.004,1.098,-2.088,2.047,0.008,0.005,20347,19947,20347,19473,
Beta1[37],0.04,1.083,-2.024,2.051,0.008,0.006,18459,18459,18480,18721,
Beta1[38],0.006,1.077,-2.032,1.993,0.008,0.005,19786,19786,19782,19660,
Beta1[39],0.022,1.089,-1.974,2.116,0.008,0.005,20057,19959,20060,19701,
Beta2[0],0.012,1.077,-1.975,2.074,0.008,0.005,20101,19640,20096,18563,
Beta2[1],0,1.079,-2.035,2.014,0.008,0.005,19717,19717,19730,19633,
Beta2[2],0.013,1.081,-1.996,2.087,0.008,0.005,19739,19739,19742,19512,
Beta2[3],-0.006,1.083,-2.037,2.032,0.008,0.006,19213,19213,19219,19750,
Beta2[4],-0.034,1.09,-2.104,2.01,0.008,0.005,19814,19814,19826,19514,
Beta2[5],-0.001,1.077,-1.965,2.062,0.008,0.005,19438,19438,19439,19479,
Beta2[6],0.002,1.091,-2.09,1.995,0.008,0.006,19612,19612,19607,19749,
Beta2[7],-0.013,1.077,-2.043,2.002,0.008,0.006,19930,18913,19929,19049,
Beta2[8],0.73,0.644,-0.436,1.997,0.005,0.003,19747,19747,19743,19461,
Beta2[9],-0.002,1.071,-1.993,2.008,0.008,0.005,20191,19890,20193,19717,
Beta2[10],-0.002,1.07,-2.002,2.021,0.008,0.005,19948,19867,19950,19866,
Beta2[11],0.011,1.073,-2.002,2.048,0.008,0.005,19851,19851,19850,18546,
Beta2[12],-0.007,1.073,-1.982,2.064,0.008,0.005,19948,19948,19946,19939,
Beta2[13],0.011,1.078,-1.994,2.063,0.008,0.005,19463,19463,19452,20131,
Beta2[14],0.001,1.092,-2.046,2.034,0.008,0.005,20310,19919,20300,19875,
Beta2[15],-0.004,1.065,-2.036,1.959,0.008,0.005,20038,20023,20039,19359,
Beta2[16],-0.013,1.083,-2.019,2.063,0.008,0.005,20636,19954,20635,19629,
Beta2[17],0.026,1.096,-2.044,2.081,0.008,0.006,20015,19614,20012,19194,
Beta2[18],0.011,1.073,-2.062,1.985,0.008,0.005,20010,19784,20011,19634,
Beta2[19],-0.011,1.077,-2.034,1.996,0.008,0.005,19953,19877,19957,20054,
Beta2[20],-0.012,1.072,-2.024,2.024,0.008,0.005,19434,19051,19433,18890,
Beta2[21],-0.027,1.082,-2.071,1.994,0.008,0.005,20232,20232,20231,19672,
Beta2[22],0.014,1.09,-2.055,2.037,0.008,0.006,18861,18861,18845,19759,
Beta2[23],0.031,1.067,-1.931,2.059,0.008,0.005,19146,19146,19144,19007,
Beta2[24],0.01,1.064,-1.994,2.008,0.008,0.005,18884,18884,18882,18603,
Beta2[25],0.01,1.079,-2.042,2.012,0.008,0.005,20176,20157,20178,19229,
Beta2[26],0.022,1.084,-2.033,2.018,0.008,0.006,19913,19254,19916,19470,
Beta2[27],-0.002,1.069,-2.027,1.983,0.008,0.005,18998,18998,19000,19756,
Beta2[28],-0.008,1.072,-2.019,2.018,0.008,0.006,18459,18459,18444,19670,
Beta2[29],0.016,1.056,-2.037,1.929,0.007,0.005,20081,19975,20075,20333,
Beta2[30],-0.002,1.076,-1.991,2.058,0.008,0.005,19813,19469,19825,19067,
Beta2[31],0.009,1.067,-1.981,2.035,0.007,0.005,20514,19186,20509,19872,
Beta2[32],0.015,1.064,-2.008,1.969,0.008,0.005,20134,19757,20131,18707,
Beta2[33],0.008,1.092,-2.183,1.929,0.008,0.005,19906,19906,19904,19751,
Beta2[34],0.026,1.086,-2.002,2.068,0.008,0.006,18334,18334,18334,19632,
Beta2[35],-0.016,1.077,-1.968,2.103,0.008,0.005,20227,19704,20227,19873,
Beta2[36],0.015,1.077,-1.916,2.13,0.008,0.005,19883,19705,19889,19078,
Beta2[37],0.018,1.071,-1.956,2.047,0.008,0.005,19279,19279,19287,19390,
Beta2[38],0.014,1.081,-2.065,1.996,0.008,0.005,19813,19707,19812,19709,
Beta2[39],-0.025,1.08,-2.047,1.991,0.008,0.005,20255,19897,20219,19345,
Beta3[0],0,1.097,-2.066,2.047,0.008,0.006,19019,19019,19025,19719,
Beta3[1],0.394,0.948,-1.408,2.161,0.007,0.005,19679,19679,19678,19138,
Beta3[2],0.02,1.095,-2.044,2.04,0.008,0.005,19960,19960,19969,19409,
Beta3[3],0.013,1.072,-2.035,2.002,0.008,0.005,19829,19829,19831,19566,
Beta3[4],0.291,0.641,-0.99,1.434,0.005,0.003,20091,19503,20092,20007,
Beta3[5],-1.009,0.627,-2.131,0.235,0.004,0.003,19645,19645,19645,18450,
Beta3[6],0.005,1.081,-1.983,2.053,0.008,0.005,19759,19759,19764,19625,
Beta3[7],-0.029,1.072,-2.057,1.974,0.008,0.006,18569,18569,18559,19265,
Beta3[8],0.005,1.097,-2.024,2.064,0.008,0.006,20099,18967,20095,19580,
Beta3[9],-0.016,1.093,-1.982,2.121,0.008,0.005,19759,19759,19760,19597,
Beta3[10],-0.485,0.552,-1.54,0.528,0.004,0.003,19993,19422,19990,19193,
Beta3[11],-0.002,1.076,-2.054,1.964,0.008,0.005,19786,19387,19785,18693,
Beta3[12],0.003,1.089,-1.98,2.102,0.008,0.006,19387,19387,19386,19399,
Beta3[13],0.023,1.101,-2.061,2.058,0.008,0.006,20252,19775,20246,18320,
Beta3[14],0.007,1.085,-2.024,2.035,0.008,0.006,19190,19190,19192,19287,
Beta3[15],0.013,1.08,-1.958,2.099,0.008,0.005,19836,19742,19833,18329,
Beta3[16],0.005,1.082,-1.962,2.086,0.008,0.005,20082,20082,20080,19516,
Beta3[17],-0.017,1.098,-2.138,1.999,0.008,0.006,19650,19650,19641,19683,
Beta3[18],-0.019,1.075,-2.051,1.993,0.008,0.005,19477,19477,19428,19675,
Beta3[19],0.03,1.101,-2.015,2.089,0.008,0.006,19439,19439,19444,19200,
Beta3[20],0.01,1.104,-2.016,2.13,0.008,0.006,19868,19868,19870,19632,
Beta3[21],-0.379,0.626,-1.523,0.821,0.004,0.003,19602,19602,19608,19584,
Beta3[22],-0.001,1.096,-2.095,2.028,0.008,0.005,20252,20252,20252,20454,
Beta3[23],-0.038,0.635,-1.211,1.171,0.005,0.003,19657,19657,19633,19885,
Beta3[24],-0.002,1.087,-2.036,2.036,0.008,0.006,19153,19153,19152,19754,
Beta3[25],-0.004,1.081,-2.048,2.014,0.008,0.005,19903,19903,19896,19003,
Beta3[26],-0.122,0.695,-1.433,1.186,0.005,0.003,19732,19732,19731,19311,
Beta3[27],-0.002,1.066,-1.972,1.991,0.008,0.005,19612,19254,19618,19131,
Beta3[28],-0.006,1.059,-2.06,1.942,0.008,0.005,19763,19763,19766,19180,
Beta3[29],-0.002,1.068,-2.022,1.978,0.008,0.005,19978,19978,19977,19127,
Beta3[30],-0.005,1.064,-2.014,1.998,0.008,0.005,19680,19680,19681,19550,
Beta3[31],-0.024,1.077,-2.059,1.946,0.008,0.005,19499,19266,19516,19994,
Beta3[32],0.078,0.791,-1.369,1.613,0.006,0.004,20100,20100,20103,20046,
Beta3[33],-0.002,1.064,-2.009,2.001,0.008,0.005,19545,19545,19550,19383,
Beta3[34],-0.363,0.725,-1.733,0.98,0.005,0.004,19809,19809,19810,19433,
Beta3[35],-1.033,0.706,-2.341,0.306,0.005,0.004,20184,19829,20183,18779,
Beta3[36],0.015,1.077,-1.96,2.095,0.008,0.005,20126,19701,20128,19971,
Beta3[37],0.013,1.102,-2.045,2.07,0.008,0.006,19661,19661,19664,20087,
Beta3[38],0.008,1.093,-2.007,2.114,0.008,0.006,18533,18533,18525,19600,
Beta3[39],-0.016,1.083,-1.97,2.086,0.008,0.005,19950,19950,19958,19671,
